origin,sector,model,observed_defaulted,observed_obligors,observed_rate,predicted_rate,log_score
2021-07-31,Finance,B2 = One-factor dynamic common-eps model,158,22465,0.007033162697529491,0.006302396320201796,-4.370242387614667
2021-07-31,Healthcare,B2 = One-factor dynamic common-eps model,64,24146,0.002650542532924708,0.0025434164388856676,-3.052218824401983
2021-07-31,Technology,B2 = One-factor dynamic common-eps model,93,25418,0.0036588244551105514,0.003014136963306843,-4.8289723079532365
2021-07-31,Utilities,B2 = One-factor dynamic common-eps model,61,27139,0.0022476878293231145,0.002544186103639289,-3.4640458140972896
2021-07-31,Basic Materials,B3 = Two-factor dynamic common-eps model,67,17547,0.0038183165213426795,0.004014361429304154,-3.1063538507686843
2021-07-31,Capital Goods,B3 = Two-factor dynamic common-eps model,70,18390,0.0038064165307232192,0.0047777777777777775,-5.004404379053511
2021-07-31,Consumer,B3 = Two-factor dynamic common-eps model,62,19954,0.003107146436804651,0.0029644849821255557,-3.0499202459167023
2021-07-31,Energy,B3 = Two-factor dynamic common-eps model,129,21113,0.006109979633401222,0.005777640947915187,-3.54564213352198
2021-07-31,Finance,B3 = Two-factor dynamic common-eps model,158,22465,0.007033162697529491,0.006360709251428148,-4.224143854283142
2021-07-31,Healthcare,B3 = Two-factor dynamic common-eps model,64,24146,0.002650542532924708,0.0026216902730611005,-3.0021846994329167
2021-07-31,Technology,B3 = Two-factor dynamic common-eps model,93,25418,0.0036588244551105514,0.0031280981981273116,-4.272545668837367
2021-07-31,Utilities,B3 = Two-factor dynamic common-eps model,61,27139,0.0022476878293231145,0.0024483830158320745,-3.204759843990871
2022-01-31,Basic Materials,B0 = Binomial-best static baseline,57,17478,0.0032612427051150017,0.0033007797357966625,-2.944461797972565
2022-01-31,Basic Materials,B1 = Beta-Binomial-best static baseline,57,17478,0.0032612427051150017,0.0033007797357966625,-4.033151547598209
2022-01-31,Capital Goods,B0 = Binomial-best static baseline,85,18693,0.00454715668966993,0.004068344596870159,-3.6482890342119845
2022-01-31,Capital Goods,B1 = Beta-Binomial-best static baseline,85,18693,0.00454715668966993,0.004068344596870159,-4.473547971914854
2022-01-31,Consumer,B0 = Binomial-best static baseline,66,20157,0.003274296770352731,0.002736555625796912,-4.0176653310434105
2022-01-31,Consumer,B1 = Beta-Binomial-best static baseline,66,20157,0.003274296770352731,0.002736555625796912,-4.183631294076065
2022-01-31,Energy,B0 = Binomial-best static baseline,117,21858,0.005352731265440571,0.0049136200436125,-3.716810884987325
2022-01-31,Energy,B1 = Beta-Binomial-best static baseline,117,21858,0.005352731265440571,0.0049136200436125,-5.181605891200434
2022-01-31,Finance,B0 = Binomial-best static baseline,165,22920,0.007198952879581152,0.005608190769547505,-8.23943877118937
